Trading starting				
1996/04/11	"$10,000.00 "			
4 stocks	25%	price >= 30		
Rank A only 			Margin	150%
No commissions			Annual	32.07%
maximum	"$2,451,808.91 "		1216 	
95%	"$1,117,549.59 "			
80%	"$766,157.61 "			
20%	"$317,909.06 "			
5%	"$203,610.58 "			
minimum	"$117,846.15 "		1158 	
median	"$485,314.60 "			
mean	"$557,638.02 "		1186 	
geo-mean	"$491,227.71 "			3.89432 

	"$117,846.15 "	4/12/2010	1168	2.46679 
	"$129,724.33 "	4/12/2010	1166	2.56283 
	"$135,068.22 "	4/12/2010	1187	2.60319 
	"$136,144.69 "	4/12/2010	1167	2.61113 
	"$139,547.97 "	4/12/2010	1174	2.63582 
	"$139,990.57 "	4/12/2010	1163	2.63899 
	"$143,430.46 "	4/12/2010	1175	2.66327 
	"$145,735.14 "	4/12/2010	1166	2.67921 
	"$151,602.94 "	4/12/2010	1182	2.71868 
	"$154,198.85 "	4/12/2010	1172	2.73566 
	"$155,267.26 "	4/12/2010	1159	2.74256 
	"$159,915.72 "	4/12/2010	1180	2.77206 
	"$160,662.82 "	4/12/2010	1170	2.77672 
	"$162,330.51 "	4/12/2010	1177	2.78705 
	"$163,252.43 "	4/12/2010	1177	2.79271 
	"$163,427.34 "	4/12/2010	1178	2.79378 
	"$171,479.34 "	4/12/2010	1165	2.84188 
	"$171,881.13 "	4/12/2010	1165	2.84422 
	"$172,630.69 "	4/12/2010	1179	2.84857 
	"$173,323.24 "	4/12/2010	1172	2.85257 
	"$173,867.41 "	4/12/2010	1166	2.85571 
	"$174,890.99 "	4/12/2010	1170	2.86158 
	"$176,196.97 "	4/12/2010	1173	2.86902 
	"$176,239.67 "	4/12/2010	1169	2.86926 
	"$176,304.04 "	4/12/2010	1173	2.86962 
	"$177,066.85 "	4/12/2010	1172	2.87394 
	"$177,560.19 "	4/12/2010	1169	2.87672 
	"$180,668.72 "	4/12/2010	1181	2.89408 
	"$182,065.27 "	4/12/2010	1174	2.90178 
	"$182,500.40 "	4/12/2010	1172	2.90417 
	"$182,704.67 "	4/12/2010	1167	2.90529 
	"$182,876.36 "	4/12/2010	1158	2.90623 
	"$183,345.29 "	4/12/2010	1168	2.90879 
	"$184,194.94 "	4/12/2010	1166	2.91341 
	"$184,647.54 "	4/12/2010	1168	2.91586 
	"$185,686.49 "	4/12/2010	1180	2.92147 
	"$186,808.91 "	4/12/2010	1191	2.92750 
	"$187,890.69 "	4/12/2010	1170	2.93328 
	"$189,579.18 "	4/12/2010	1168	2.94222 
	"$191,374.60 "	4/12/2010	1175	2.95165 
	"$194,091.14 "	4/12/2010	1173	2.96574 
	"$195,511.61 "	4/12/2010	1167	2.97303 
	"$195,906.89 "	4/12/2010	1168	2.97505 
	"$197,448.62 "	4/12/2010	1168	2.98289 
	"$201,466.86 "	4/12/2010	1173	3.00304 
	"$201,478.04 "	4/12/2010	1169	3.00310 
	"$201,925.95 "	4/12/2010	1169	3.00532 
	"$202,384.89 "	4/12/2010	1172	3.00759 
	"$202,522.24 "	4/12/2010	1185	3.00826 
	"$203,610.58 "	4/12/2010	1177	3.01362 
	"$204,533.30 "	4/12/2010	1173	3.01815 
	"$205,594.35 "	4/12/2010	1182	3.02332 
	"$207,967.51 "	4/12/2010	1176	3.03480 
	"$209,469.49 "	4/12/2010	1175	3.04199 
	"$209,953.05 "	4/12/2010	1175	3.04430 
	"$212,398.52 "	4/12/2010	1178	3.05588 
	"$212,520.77 "	4/12/2010	1170	3.05645 
	"$213,064.90 "	4/12/2010	1166	3.05901 
	"$213,785.87 "	4/12/2010	1170	3.06239 
	"$217,344.15 "	4/12/2010	1178	3.07890 
	"$218,828.70 "	4/12/2010	1169	3.08570 
	"$219,204.43 "	4/12/2010	1170	3.08742 
	"$221,892.67 "	4/12/2010	1161	3.09961 
	"$222,533.98 "	4/12/2010	1165	3.10249 
	"$224,355.44 "	4/12/2010	1183	3.11065 
	"$225,594.66 "	4/12/2010	1175	3.11615 
	"$226,028.42 "	4/12/2010	1182	3.11808 
	"$228,705.22 "	4/12/2010	1175	3.12985 
	"$228,762.35 "	4/12/2010	1189	3.13010 
	"$229,357.04 "	4/12/2010	1178	3.13269 
	"$229,874.33 "	4/12/2010	1171	3.13495 
	"$229,875.81 "	4/12/2010	1183	3.13495 
	"$232,713.05 "	4/12/2010	1166	3.14722 
	"$232,811.91 "	4/12/2010	1177	3.14765 
	"$234,086.26 "	4/12/2010	1172	3.15310 
	"$235,258.42 "	4/12/2010	1174	3.15810 
	"$235,295.04 "	4/12/2010	1182	3.15826 
	"$235,511.23 "	4/12/2010	1173	3.15917 
	"$240,105.12 "	4/12/2010	1169	3.17849 
	"$244,724.25 "	4/12/2010	1179	3.19755 
	"$245,196.03 "	4/12/2010	1169	3.19947 
	"$247,621.75 "	4/12/2010	1166	3.20932 
	"$247,767.65 "	4/12/2010	1174	3.20991 
	"$247,960.71 "	4/12/2010	1187	3.21069 
	"$248,553.66 "	4/12/2010	1181	3.21307 
	"$249,362.59 "	4/12/2010	1180	3.21632 
	"$251,258.95 "	4/12/2010	1171	3.22390 
	"$252,492.27 "	4/12/2010	1182	3.22880 
	"$254,864.68 "	4/12/2010	1187	3.23815 
	"$255,496.33 "	4/12/2010	1184	3.24062 
	"$257,383.70 "	4/12/2010	1169	3.24798 
	"$258,805.67 "	4/12/2010	1170	3.25349 
	"$259,718.05 "	4/12/2010	1182	3.25701 
	"$260,110.96 "	4/12/2010	1173	3.25852 
	"$260,647.27 "	4/12/2010	1169	3.26058 
	"$261,694.71 "	4/12/2010	1179	3.26459 
	"$261,979.12 "	4/12/2010	1167	3.26568 
	"$264,221.52 "	4/12/2010	1182	3.27420 
	"$264,704.54 "	4/12/2010	1191	3.27603 
	"$264,882.82 "	4/12/2010	1164	3.27670 
