0 5000   6.3722   0.0013
1 4794  10.2763   0.0021
2 4412  -0.5040  -0.0001
3 3928  11.4678   0.0029
4 3388  10.2560   0.0030
5 2777   7.4676   0.0027
6 2178  -0.2407  -0.0001
7 1672   7.7745   0.0046
8 1311   3.3896   0.0026
9 1027   0.2757   0.0003
10 825   1.3198   0.0016
11 657   0.3210   0.0005
12 540   0.7714   0.0014
13 432   2.1656   0.0050
14 353   0.4896   0.0014
15 293   0.6683   0.0023
16 237   0.8444   0.0036
17 186   0.2302   0.0012
18 137   1.7058   0.0125
19 109   1.1239   0.0103
20 81   0.4405   0.0054
21 68   0.3261   0.0048
22 57   0.2389   0.0042
23 40   0.5278   0.0132
24 36  -0.1937  -0.0054
25 28  -0.0389  -0.0014
26 23   0.0242   0.0011
27 18  -0.1082  -0.0060
28 17   0.4170   0.0245
29 14   0.0651   0.0046
30 13   0.1032   0.0079
31 10   0.0854   0.0085
32 7   0.0389   0.0056
33 4  -0.0302  -0.0076
34 4  -0.0754  -0.0189
35 3   0.0982   0.0327
36 3  -0.0268  -0.0089
37 2   0.0034   0.0017
38 2  -0.0125  -0.0062
39 2   0.0340   0.0170
40 2   0.1660   0.0830
41 1   0.0342   0.0342
