0 1000   3.6166   0.0036
1 946   4.9652   0.0052
2 853   2.9018   0.0034
3 742   1.8938   0.0026
4 625   2.8635   0.0046
5 512  -0.9018  -0.0018
6 411   1.1817   0.0029
7 320   2.5717   0.0080
8 249   0.7677   0.0031
9 199   0.7480   0.0038
10 166  -0.7399  -0.0045
11 136  -0.6719  -0.0049
12 115   0.8391   0.0073
13 97   0.9960   0.0103
14 79   0.5636   0.0071
15 60   0.3336   0.0056
16 45  -0.3457  -0.0077
17 36   0.2893   0.0080
18 30   0.1733   0.0058
19 25   0.3721   0.0149
20 18   0.6237   0.0346
21 15   0.1863   0.0124
22 12   0.2269   0.0189
23 8   0.0624   0.0078
24 7   0.0215   0.0031
25 6   0.0851   0.0142
26 4  -0.0586  -0.0147
27 3  -0.0063  -0.0021
28 3   0.0017   0.0006
29 2   0.0061   0.0030
30 2  -0.0080  -0.0040
31 2   0.0112   0.0056
32 1   0.0517   0.0517
33 1  -0.0048  -0.0048
34 1   0.0597   0.0597
